StockCode,revenue_total,cumulative_share,sku_rank
22423,164762.18999999983,0.017200458076936608,1
47566,98302.98000000001,0.027462862857596172,2
85123A,97894.50000000029,0.03768262409779744,3
85099B,92356.02999999977,0.04732419308985379,4
23084,66756.58999999992,0.054293291568420055,5
22086,63791.94000000009,0.0609528934444115,6
84879,58959.730000000265,0.06710803355327086,7
79321,53768.060000000005,0.07272118582994437,8
22502,51041.37,0.07804968349603154,9
22197,50987.47000000001,0.08337255423587825,10
23298,42700.02000000006,0.08783025113766352,11
22386,41619.65999999999,0.09217516314087466,12
23203,40991.37999999988,0.09645448543688066,13
21137,40596.96,0.10069263199545138,14
22720,37413.440000000075,0.10459843287266711,15
23284,36565.389999999985,0.10841570100780076,16
22960,36116.09,0.11218606417150884,17
82484,35859.269999999975,0.11592961644102255,18
20725,35187.30999999999,0.11960301900076745,19
22114,32692.49,0.12301597317232628,20
22178,32549.570000000003,0.12641400711571654,21
22112,32317.300000000007,0.12978779307844127,22
85099F,32121.98000000001,0.13314118848025158,23
22910,31941.889999999985,0.1364757832670963,24
22469,31899.84999999999,0.1398059892602648,25
23245,30756.449999999975,0.1430168292522581,26
22727,30423.619999999995,0.1461929232357057,27
21931,30167.790000000015,0.14934230967666542,28
22470,29949.91000000001,0.15246895039055144,29
23199,29166.399999999965,0.15551379605845111,30
22355,29164.36000000002,0.15855842875919812,31
23355,28424.950000000023,0.16152587026270093,32
22411,28012.480000000036,0.16445025168704971,33
22457,27995.35999999992,0.16737284585764642,34
22699,27944.91999999993,0.17029017431099694,35
20685,27621.319999999985,0.1731737203277721,36
85099C,27581.320000000025,0.17605309051802373,37
22726,27039.03,0.1788758479841392,38
23201,26814.15,0.18167512895353932,39
21915,26247.829999999998,0.18441528857101927,40
84347,26142.23,0.1871444240064771,41
22666,25819.549999999952,0.18983987304936958,42
22629,25647.769999999975,0.19251738900525675,43
84946,25516.670000000006,0.19518121868971303,44
48138,25512.099999999995,0.197844571285989,45
22961,25235.22999999996,0.2004790198550257,46
21181,25120.879999999994,0.20310153077998824,47
23173,24482.529999999973,0.20565740073341834,48
22722,24365.66000000002,0.2082010699657033,49
22326,24317.669999999966,0.21073972925011666,50
21621,24304.830000000005,0.213277048094216,51
48187,24261.03999999999,0.21580979545222867,52
22111,23965.389999999992,0.21831167823244926,53
22138,23928.619999999988,0.22080972238413812,54
21731,23651.68000000002,0.22327885520089133,55
22189,23431.870000000006,0.22572504080694106,56
23344,23328.789999999975,0.22816046530803963,57
21175,23298.740000000013,0.23059275271946242,58
21733,23075.789999999975,0.23300176511779966,59
21623,22970.289999999994,0.23539976377368105,60
23243,22968.62,0.2377975880888051,61
21929,22794.070000000025,0.24017719014093708,62
22139,22717.50999999998,0.242548799661103,63
20713,22599.530000000013,0.24490809258093774,64
22090,22594.56,0.24726686665432698,65
82482,22531.71000000002,0.24961907946029108,66
22697,22433.249999999938,0.2519610134692675,67
22383,22318.64000000002,0.25429098269129746,68
85066,22248.15,0.2566135930630362,69
20727,22219.010000000024,0.25893316134515265,70
48194,22114.719999999998,0.26124184220356556,71
84029E,21888.52999999999,0.26352690980694454,72
15056N,21839.040000000005,0.26580681086895724,73
20712,21665.96000000004,0.26806864312960266,74
20724,21606.48000000001,0.27032426593620756,75
21523,21561.639999999996,0.27257520764127957,76
20728,21423.130000000012,0.27481168950305723,77
23202,21410.35,0.2770468371882606,78
23209,21384.370000000003,0.279279272674137,79
22630,21156.48999999999,0.28148791847630866,80
21212,21059.719999999958,0.28368646191016333,81
23206,20814.83000000001,0.2858594398900844,82
21166,20796.540000000005,0.2880305084733275,83
21928,20670.020000000026,0.29018836891727673,84
22728,20548.399999999998,0.2923335327606811,85
22659,20272.699999999993,0.29444991471977205,86
21479,19958.519999999993,0.2965334976494339,87
84997D,19627.75,0.29858254962561603,88
48185,19333.909999999996,0.30060092598015625,89
21843,18884.749999999985,0.30257241197866375,90
82494L,18729.839999999964,0.30452772604500217,91
22969,18602.749999999996,0.30646977246651874,92
22467,18552.970000000012,0.3084066220719268,93
22501,18448.960000000017,0.31033261348441704,94
