StockCode,Description,revenue_total,revenue_share,pareto_rank,pareto_cum_share,abc,avg_monthly_units,months_observed,cv_units,xyz,abc_xyz_segment,include_in_pareto,include_in_xyz
22423,REGENCY CAKESTAND 3 TIER,174484.73999999985,0.016956342470937566,1,0.016956342470937566,A,998.4615384615385,13,0.37876358161172274,X,AX,true,true
85123A,?,104518.80000000026,0.010157086330021957,3,0.0434852228818738,A,2986.923076923077,13,0.5144826040272195,Y,AY,true,true
47566,PARTY BUNTING,99504.33000000002,0.009669782565634041,4,0.05315500544750785,A,1386.3076923076924,13,0.7375920801668788,Y,AY,true,true
85099B,JUMBO BAG RED RETROSPOT,94340.04999999976,0.009167920338050025,5,0.06232292578555788,A,3643.3076923076924,13,0.38837244829062173,X,AX,true,true
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,0.007939655810076421,6,0.0702625815956343,A,393.22222222222223,9,0.7054176921033568,Y,AY,true,true
23084,Amazon,66964.98999999993,0.006507625274295673,7,0.07677020686992997,A,3830.75,8,1.287541880333346,Z,AZ,true,true
22086,PAPER CHAIN KIT 50'S CHRISTMAS,64952.2900000001,0.006312032063730364,8,0.08308223893366033,A,1458.1538461538462,13,1.5291068192752348,Z,AZ,true,true
84879,ASSORTED COLOUR BIRD ORNAMENT,59094.93000000027,0.0057428166576405934,9,0.08882505559130094,A,2786.230769230769,13,0.5427500730475269,Y,AY,true,true
79321,CHILLI LIGHTS,54117.76,0.0052591376891756095,10,0.09408419328047654,A,795.6153846153846,13,0.7062155492442193,Y,AY,true,true
22502,PICNIC BASKET WICKER 60 PIECES,51426.62000000001,0.004997614008209361,11,0.0990818072886859,A,187.3,10,0.7723099180335036,Y,AY,true,true
22197,POPCORN HOLDER,51354.02000000001,0.004990558775394216,12,0.1040723660640801,A,4342.307692307692,13,0.6842771313946133,Y,AY,true,true
23298,"BUNTING , SPOTTY",43182.83000000007,0.004196486491278714,13,0.10826885255535883,A,1066.75,8,0.5272818116528266,Y,AY,true,true
22386,JUMBO BAG PINK POLKADOT,42436.239999999976,0.0041239332369059885,14,0.11239278579226482,A,1616.076923076923,13,0.5431875637458868,Y,AY,true,true
23203,JUMBO BAG DOILEY PATTERNS,42067.77999999988,0.004088126472676388,15,0.11648091226494119,A,2501.625,8,0.42460578139506777,X,AX,true,true
21137,BLACK RECORD COVER FRAME,40652.13,0.003950554291756836,16,0.12043146655669802,A,893.5384615384615,13,0.7671793642045351,Y,AY,true,true
23284,DOORMAT KEEP CALM AND COME IN,38166.63999999998,0.003709015578124395,17,0.1241404821348224,A,584.8888888888889,9,0.7507838105068914,Y,AY,true,true
22720,SET OF 3 CAKE TINS PANTRY DESIGN,38158.39000000007,0.003708213847122683,18,0.1278486959819451,A,560.4615384615385,13,0.6776688441270796,Y,AY,true,true
22960,JAM MAKING SET WITH JARS,37128.880000000005,0.0036081665642642732,19,0.13145686254620936,A,651.5384615384615,13,0.3456942045085985,X,AX,true,true
20725,LUNCH BAG RED RETROSPOT,36042.00999999999,0.0035025450644048115,20,0.13495940761061417,A,1459.923076923077,13,0.36605034699300004,X,AX,true,true
82484,WOOD BLACK BOARD ANT WHITE FINISH,36030.21999999997,0.003501399317918714,21,0.13846080692853288,A,461.2307692307692,13,0.6170403756175064,Y,AY,true,true
22178,VICTORIAN GLASS HANGING T-LIGHT,33187.97,0.003225190840386399,22,0.14168599776891927,A,1834.923076923077,13,0.3840281684859425,X,AX,true,true
22114,HOT WATER BOTTLE TEA AND SYMPATHY,33002.590000000004,0.003207175701828939,23,0.14489317347074823,A,602.1,10,1.0646774372420047,Z,AZ,true,true
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,32873.33999999998,0.0031946152494686407,24,0.14808778872021688,A,788.6923076923077,13,1.4120397950589236,Z,AZ,true,true
22112,CHOCOLATE HOT WATER BOTTLE,32866.180000000015,0.0031939194441386654,25,0.15128170816435554,A,453.6923076923077,13,1.0723126047919105,Z,AZ,true,true
85099F,JUMBO BAG STRAWBERRY,32570.47000000001,0.003165182489651522,26,0.15444689065400705,A,1301.6153846153845,13,0.5963641139668506,Y,AY,true,true
22469,HEART OF WICKER SMALL,32107.799999999992,0.0031202204432798507,27,0.1575671110972869,A,1368.5384615384614,13,0.6304560402920107,Y,AY,true,true
23245,SET OF 3 REGENCY CAKE TINS,31177.949999999968,0.0030298580709222354,28,0.16059696916820915,A,895.2857142857143,7,0.4233018810142712,X,AX,true,true
21931,JUMBO STORAGE BAG SUKI,30770.120000000017,0.00299022534917292,29,0.16358719451738207,A,1024.6153846153845,13,0.328046402999025,X,AX,true,true
22727,ALARM CLOCK BAKELIKE RED,30701.11999999999,0.0029835199626130687,30,0.16657071447999514,A,595.4615384615385,13,0.5422624403686911,Y,AY,true,true
23199,JUMBO BAG APPLES,30475.649999999954,0.0029616088972848177,31,0.16953232337727994,A,1577.4444444444443,9,0.4963314953213505,X,AX,true,true
22470,HEART OF WICKER LARGE,30139.410000000007,0.002928933257040134,32,0.1724612566343201,A,756.1538461538462,13,0.7819051983528541,Y,AY,true,true
22355,CHARLOTTE BAG SUKI DESIGN,29277.95000000002,0.002845216991738001,33,0.17530647362605808,A,1384.8461538461538,13,0.24465827452712902,X,AX,true,true
22699,ROSES REGENCY TEACUP AND SAUCER,29095.26999999992,0.002827464237872004,34,0.1781339378639301,A,726.2307692307693,13,0.42608840669155384,X,AX,true,true
23355,HOT WATER BOTTLE KEEP CALM,28842.550000000025,0.002802905030750203,35,0.18093684289468032,A,1149.0,5,0.703804561632672,Y,AY,true,true
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,28634.950000000033,0.0027827305633614415,36,0.18371957345804174,A,942.1538461538462,13,0.45106426240923697,X,AX,true,true
22457,NATURAL SLATE HEART CHALKBOARD,28147.95999999992,0.0027354051111762026,37,0.18645497856921794,A,701.5384615384615,13,0.18980078930427097,X,AX,true,true
85099C,JUMBO  BAG BAROQUE BLACK WHITE,28092.20000000003,0.0027299863813997328,38,0.18918496495061768,A,1049.3076923076924,13,0.39514474922921805,X,AX,true,true
20685,DOORMAT RED RETROSPOT,28082.539999999983,0.0027290476272813493,39,0.19191401257789903,A,309.7692307692308,13,0.6428179903610157,Y,AY,true,true
23201,JUMBO BAG ALPHABET,27890.17,0.0027103532039115235,40,0.19462436578181053,A,1420.5555555555557,9,0.3654859880079178,X,AX,true,true
22726,ALARM CLOCK BAKELIKE GREEN,27196.53,0.0026429456048771257,41,0.19726731138668768,A,491.0769230769231,13,0.6057680293438431,Y,AY,true,true
21175,GIN + TONIC DIET METAL SIGN,27074.070000000043,0.002631045001426129,42,0.1998983563881138,A,782.8461538461538,13,0.7691213005166976,Y,AY,true,true
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,26463.83,0.0025717421739727617,43,0.20247009856208656,A,1088.4615384615386,13,1.8528222100713125,Z,AZ,true,true
21915,John Lewis,26331.579999999998,0.002558890183066385,44,0.20502898874515296,A,1697.3846153846155,13,0.6352144155747016,Y,AY,true,true
22666,RECIPE BOX PANTRY YELLOW DESIGN,26240.599999999948,0.0025500487907589155,45,0.2075790375359119,A,626.6153846153846,13,0.5160041442784605,Y,AY,true,true
